District,Place Name,Alternate Name,Category,Subcategory,Approximate Location,Latitude,Longitude,Short Description,Why Tourism-Relevant,Verification Level,Primary Source,Secondary Source,Existing Duplicate?,Existing Place ID / Slug,Duplicate / Conflict Notes,Current Status,Recommended Action
Madhepura,Dakini Sthan,Maa Dakini Mandir,temple,Ancient Shakti Shrine,"Alamnagar block, Madhepura",25.6812,86.9124,"Ancient temple dedicated to Goddess Kali/Dakini, surrounded by natural ponds and associated with regional tantric lore.",Highlighted place of interest on district government portal.,B,District Administration Madhepura (madhepura.nic.in),Regional pilgrimage records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Madhepura,Singheshwar Sthan Temple,Singheshwar Dham,temple,Ancient Shiva Temple & Historic Mela,"Singheshwar, 8 km north of Madhepura town",26.0125,86.8124,Ancient Shiva temple mentioned in Varaha Purana as the place where Sage Rishyashringa meditated; houses a sacred self-manifested lingam and host to one of Bihar's largest month-long Mahashivratri Melas.,"Foremost cultural and religious destination in Kosi division, state-level pilgrimage landmark.",A,Bihar Tourism (tourism.bihar.gov.in) & District Administration Madhepura (madhepura.nic.in),Bihar State Religious Trust Board,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Madhubani,Bhawanipur Ugna Shiva Mandir,Ugna Mahadev Mandir,temple,Literary & Mythological Heritage Temple,"Bhawanipur village, Madhubani",26.3125,86.1512,"Sacred temple commemorating the legend of Mahakavi Vidyapati, where Lord Shiva worked as a servant named Ugna to serve his devotee poet until revealed at this site.",Celebrated Mithila cultural and poetic heritage site.,A,District Administration Madhubani,Mithila Sanskritik Parishad,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Madhubani,Kapileshwar Sthan,Kapileshwar Nath Temple,temple,Ancient Shiva Pilgrimage,"Rahika block, 9 km from Madhubani",26.4312,86.0485,"Ancient Shiva temple said to have been consecrated by Vedic philosopher Sage Kapila (founder of Samkhya philosophy), drawing massive congregations during Shravan and Shivratri.",Prime religious shrine in Madhubani district.,A,District Administration Madhubani (madhubani.nic.in/tourist-place/kapileshwar-temple/),State Religious Trust,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Madhubani,Madhubani Art Village (Jitwarpur),Jitwarpur Painting Village,cultural,Artisan Village / GI Craft Centre,"Jitwarpur, 4 km from Madhubani town",26.3563,86.0715,"World-renowned epicentre of GI-tagged Mithila (Madhubani) painting, home to multiple Padma Shri and National Award-winning artists (Jagdamba Devi, Sita Devi, Baua Devi) where every village home is an art canvas.",Global cultural and folk art tourism destination recognized by UNESCO and Ministry of Textiles.,A,Ministry of Textiles / GI Registry of India,Bihar Tourism (tourism.bihar.gov.in),YES,ID 13 (madhubani-art-village-jitwarpur),Already in HiddenYatra as place ID 13 (catalogued as Jhanjharpur (Madhubani)).,EXISTING,KEEP EXISTING
Madhubani,Raja Bali Ka Garh,Balirajgarh Ancient Fort,historical,Ancient Fortified City / ASI Monument,"Babubarhi block, Madhubani",26.4815,86.2912,Massive fortified ancient settlement mound spread over 175 acres with defensive brick ramparts dating to Northern Black Polished Ware (NBPW) and Sunga-Kushan periods (2nd century BCE).,ASI Centrally Protected Monument of National Importance in Bihar.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #33)",District Administration Madhubani,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Madhubani,Rajnagar Palace Complex,Nagar Fort / Navlakha Palace Rajnagar,historical,Royal Palace Ruins & Marble Architecture,"Rajnagar, 14 km north of Madhubani",26.3912,86.1485,"Monumental ruins of the royal complex built by Maharaja Rameshwar Singh in late 19th century, featuring the Navlakha Palace, Girija Temple, Kamakhya Temple, and stunning white marble carvings.","Foremost architectural heritage wonder of Mithila, featured on Bihar Tourism heritage circuit.",A,Bihar Tourism (tourism.bihar.gov.in) & District Administration Madhubani,Mithila Heritage Trust,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Madhubani,Ranti Art Village,Ranti Mithila Painting Cluster,cultural,Artisan Village / GI Craft,"Ranti, adjacent to Madhubani town",26.3685,86.0824,"Sister artisan village to Jitwarpur, internationally acclaimed for Godna and Bharni style Madhubani paintings; home of Padma Shri Mahasundari Devi and Godavari Dutta.",Globally recognized women-led traditional craft cluster.,A,Ministry of Textiles / Bihar Tourism,Craft Council of India,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Madhubani,Saurath Sabha Gachhi,Saurath Matrimonial Assembly Grove,cultural,Living Anthropological Heritage Site,"Saurath village, 6 km from Madhubani",26.4125,86.0954,Historic 22-acre mango grove where thousands of Maithil Brahmins have gathered every summer for seven centuries with traditional genealogists (Panjikars) to arrange marriages based on palm-leaf records.,"Rare living anthropological and cultural heritage tradition in India, documented on madhubani.nic.in.",A,District Administration Madhubani (madhubani.nic.in) & Sahitya Akademi,"Department of Art, Culture and Youth Bihar",NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Madhubani,Uchaith Bhagwati Mandir,Uchitha Durga Temple,temple,Goddess Temple & Kalidasa Legend,"Benipatti block, Madhubani",26.4812,85.9124,"Historic temple of Goddess Durga on the bank of river Thumne, where classical poet Mahakavi Kalidasa is traditionally believed to have attained wisdom by offering his tongue to the Mother.",Prominent cultural and literary pilgrimage site in North Bihar.,A,District Administration Madhubani (madhubani.nic.in/tourist-place/uchaith-durga-mandir/),Bihar Tourism Cultural records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Munger,Bhimbandh Hot Springs & Wildlife Sanctuary,Bhimbandh Sanctuary,nature,Thermal Springs & Wildlife Sanctuary,"Kharagpur hills, 56 km south-west of Munger",24.9667,86.4833,"681 sq km wildlife sanctuary nestled in the Kharagpur hills with natural hot thermal springs (52°C to 65°C), pristine sal and bamboo forests, leopards, sambar, and endemic avifauna.",Premier eco-tourism and natural hot spring destination in eastern Bihar.,A,"Department of Environment, Forest and Climate Change & Bihar Tourism",Incredible India,YES,ID 21 (bhimbandh-hot-springs),Already in HiddenYatra as place ID 21.,EXISTING,KEEP EXISTING
Munger,Bihar School of Yoga / Ganga Darshan,Ganga Darshan Ashram,cultural,World's First Yoga University,"Ganga Darshan, Fort area, Munger",25.3812,86.4685,Internationally renowned centre of yogic science founded by Swami Satyananda Saraswati in 1963; world's first yoga university attracting seekers from over 100 countries.,Global spiritual and wellness tourism landmark on the banks of Ganga.,A,Bihar Tourism (tourism.bihar.gov.in) & District Administration Munger,Ministry of AYUSH,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Munger,Chandika Sthan,Chandi Mandir Munger,temple,51 Shaktipeeth Temple,1 km east of Munger Fort,25.3785,86.4854,One of the 51 Shaktipeeths where Sati's left eye is believed to have fallen; revered shrine with an underground cave chamber.,Major pilgrimage destination in eastern Bihar.,A,District Administration Munger (munger.nic.in),Bihar Tourism Spiritual records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Munger,Kashtaharani Ghat,Kashtharni Ganga Ghat,cultural,Sacred Riverfront & Sunset Viewpoint,"Munger city, on Ganga riverbank",25.3824,86.4712,"Sacred Ganga bathing ghat where the river turns northward (Uttaravahini), believed to wash away all pain (Kasht-Harani); site where Lord Rama and Lakshmana bathed after slaying Tadaka.",Famous spiritual and evening gathering promenade with panoramic river views.,A,District Administration Munger (munger.nic.in) & Bihar Tourism,National Mission for Clean Ganga,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Munger,Kharagpur Lake & Haveli Kharagpur,Kharagpur Dam & Reservoir,lake,Hill Reservoir & Scenic Water Catchment,"Haveli Kharagpur, 45 km from Munger",25.1215,86.5124,"Picturesque man-made reservoir built in 1876 by the Maharaja of Darbhanga amidst the Kharagpur hills with waterfalls, lush forests, and boating.",Top picnic and eco-tourism spot in Munger district.,A,District Administration Munger (munger.nic.in),Water Resources Department Bihar,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Munger,Munger Fort,Karan Chaura / Mir Qasim Fort,historical,Historic Citadel on River Ganga,"Munger city, on a rocky promontory in Ganga",25.3752,86.4735,"Sprawling historical fort built on a prominent hillock in river Ganga, encompassing Karnachaura mound, tomb of Pir Shah Nafah (1497), palace of Mir Qasim, and Chandisthan.","Historic fortress dating to the Mauryan period, capital of Bengal under Mir Qasim, State Protected Monument.",A,Bihar State Archaeology & District Administration (munger.nic.in),ASI Reports / Bihar Tourism,YES,ID 19 (munger-fort),Already in HiddenYatra as place ID 19.,EXISTING,KEEP EXISTING
Munger,Rishi Kund,Rishikund Thermal Springs,nature,Natural Hot Spring in Hill Valley,"Kharagpur hills, 28 km from Munger",25.2312,86.5412,"Picturesque natural hot spring situated in a serene forested valley between two hills of Kharagpur range, with sacred stone kunds.",Scenic eco-tourism and pilgrimage site featured on munger.nic.in.,A,District Administration Munger (munger.nic.in),Bihar Forest Department,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Muzaffarpur,Baba Garibnath Temple,Garibnath Dham,temple,Revered Shiva Temple / Deoghar of North Bihar,Centre of Muzaffarpur city,26.1185,85.3854,"Ancient and deeply venerated Shiva temple known as the spiritual epicenter of Tirhut, attracting hundreds of thousands of Kanwariyas during the Shravani Mela.","Foremost religious destination in Muzaffarpur, officially documented on muzaffarpur.nic.in.",A,District Administration Muzaffarpur (muzaffarpur.nic.in),Bihar State Religious Trust Board,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Muzaffarpur,Katra Garh & Chamunda Mandir,Katra Fort Mound,historical,Archaeological Fortress & Shakti Temple / State Protected,"Katra block, 30 km north-east of Muzaffarpur",26.2154,85.6124,"Massive 50-acre fortified ancient mound dating to the Sunga and Kushan periods, housing a revered 51-Shaktipeeth Chamunda Devi temple.",Bihar State Protected Monument and vital archaeological site.,A,Bihar State Archaeology Department,District Administration Muzaffarpur,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Muzaffarpur,Litchi Gardens & Jubba Sahni Park,Shahi Litchi Orchards / Jubba Sahni Udyan,nature,GI-Tagged Litchi Heritage & Urban Park,Muzaffarpur city and surrounding rural orchards,26.1209,85.3647,"World-famous orchards of GI-tagged Shahi Litchi of Muzaffarpur, combined with the city's premier public landscaped park named after freedom fighter Jubba Sahni.",Cultural and horticultural identity of the 'Litchi Capital of India'.,A,Ministry of Agriculture / GI Registry of India,District Administration Muzaffarpur,YES,ID 27 (litchi-gardens-jubba-sahni-park),Already in HiddenYatra as place ID 27.,EXISTING,KEEP EXISTING
Muzaffarpur,Ramchandra Shahi Museum,Muzaffarpur Museum,museum,Regional Archaeology & Art Museum,"Jubba Sahni Park compound, Muzaffarpur",26.1215,85.3654,"Established in 1979, housing rare stone sculptures of Hindu, Buddhist, and Jain deities from 8th-12th centuries, ancient coins, Gandhara art, and weapons.","Official state museum in Tirhut division managed by Directorate of Museums, Government of Bihar.",A,Directorate of Museums Bihar & District Administration Muzaffarpur,Bihar Tourism,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Muzaffarpur,Sujani Embroidery Craft Cluster,Bhusra Sujani Village,cultural,GI-Tagged Textile Craft Centre,"Bhusra village, Gaighat block, Muzaffarpur",26.1512,85.5124,"Traditional rural women's quilting and needle-craft cluster holding an official Geographical Indication (GI) tag, creating narrative textile art depicting social themes.",Important cultural craft tourism center recognized by UNESCO and Ministry of Textiles.,A,Ministry of Textiles / GI Registry of India,Bihar Tourism Culture Layer,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Nalanda,Brahma Kund & Hot Springs,Rajgir Hot Sulfur Springs,nature,Thermal Springs & Heritage Bathing Kunds,"Base of Vaibhava Hill, Rajgir",25.0215,85.4112,"Natural mineral-rich sulfur hot springs emerging at 45°C through 22 spouts (dharas) from the seven hills into stepped stone tanks, revered for medicinal healing.",Famous wellness and pilgrimage destination since antiquity.,A,District Administration Nalanda & Bihar Tourism,State Religious Trust,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Nalanda,Cyclopean Wall of Rajgir,Ancient 40-km Stone Rampart,historical,Pre-Mauryan Megalithic Stone Wall / ASI,Encompassing the perimeter of Rajgir valley,25.0125,85.4185,"Over 40-km long colossal stone defensive wall built of massive unworked boulders without mortar, dating to the 6th century BCE (pre-Mauryan Haryanka dynasty).","One of the oldest stone structural fortifications in the world, ASI Centrally Protected Monument.",A,"Archaeological Survey of India (ASI Patna Circle, Monument #37)",UNESCO Tentative List,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Nalanda,Ghora Katora Lake Eco-Reserve,Ghora Katora Lake,nature,Eco-Tourism Lake & Buddha Statue,"Enclosed valley behind Rajgir hills, 12 km from Rajgir",24.9921,85.4812,"Picturesque natural lake surrounded by five hills of Rajgir, featuring a 70-foot pink sandstone statue of Lord Buddha installed in the middle of water; zero-emission electric vehicle zone.",Bihar's premier eco-tourism nature park with paddle boating and cycling trails.,A,"Department of Environment, Forest and Climate Change & Bihar Tourism",District Administration Nalanda,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Nalanda,Griddhakuta (Vulture's Peak),Girdhkut Parvat,historical,Sacred Buddhist Mountain Peak,"Ratnagiri-Griddhakuta hill range, Rajgir",25.0112,85.4412,Sacred hill peak shaped like a vulture where Lord Buddha spent many rainy seasons preaching the Lotus Sutra (Saddharma Pundarika) and Prajnaparamita Sutra.,Most revered Buddhist pilgrimage hill in the world.,A,Archaeological Survey of India & Bihar Tourism Buddhist Circuit,District Administration Nalanda,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Nalanda,"Jal Mandir, Pawapuri",Pawapuri Apapuri,temple,Marble Jain Water Temple / Mahavira Nirvana Site,"Pawapuri, 16 km from Bihar Sharif",25.0925,85.5385,"Exquisite white marble temple situated in the middle of a sprawling lotus pond, marking the spot where the 24th Jain Tirthankara Lord Mahavira was cremated and attained Moksha (Nirvana) in 527 BCE.",Foremost sacred pilgrimage center on the global Jain Circuit.,A,Bihar Tourism Jain Circuit (tourism.bihar.gov.in) & Pawapuri Temple Trust,All India Jain Mahasabha,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Nalanda,Nalanda University Ruins,Ancient Nalanda Mahavihara,historical,UNESCO World Heritage Site / Ancient University,"Bargaon, Nalanda, 12 km from Rajgir",25.1362,85.4427,"World-renowned ancient residential Buddhist monastic university flourishing from 5th to 12th century CE, with excavated temples, stupas, monastic viharas, and meditation cells across 30 acres.",UNESCO World Heritage Site of global intellectual and civilizational eminence.,A,UNESCO World Heritage Centre & Archaeological Survey of India (ASI),Bihar Tourism (tourism.bihar.gov.in),YES,ID 8 (nalanda-university-ruins),Already in HiddenYatra as place ID 8.,EXISTING,KEEP EXISTING
Nalanda,Rajgir,Ancient Rajagriha / Valley of Kings,historical,Ancient Capital & Sacred Valley,"Rajgir, surrounded by seven hills",25.0261,85.4176,"First capital of the ancient Magadhan Empire, intimately associated with Lord Buddha, Lord Mahavira, King Bimbisara, and King Ajatashatru.","Core hub of Buddhist, Jain, and historical tourism in Bihar.",A,Bihar Tourism & District Administration Nalanda,ASI,YES,ID 9 (rajgir-rajagriha),Already in HiddenYatra as general place ID 9.,EXISTING,KEEP EXISTING
Nalanda,Rajgir Glass Bridge & Nature Safari,Rajgir Zoo Safari & Skywalk,adventure,Glass Skywalk Bridge & Zoo Safari,"Jethian valley road, Rajgir hills",24.9815,85.3912,"Bihar's first 85-foot high transparent glass skywalk bridge suspended over a scenic canyon, accompanied by a 500-acre open-enclosure wildlife zoo safari (lions, tigers, bears) and adventure sports.",Modern flagship adventure tourism destination in Bihar inaugurated in 2021.,A,Bihar Forest Department & Bihar Tourism (tourism.bihar.gov.in),District Administration Nalanda,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Nalanda,Saptaparni Cave,"Saptaparni Caves, Vaibhava Hill",historical,Site of First Buddhist Council / Cave,"Vaibhava Hill, Rajgir",25.0185,85.4054,Ancient natural rock-cut cave on Vaibhava hill where the First Buddhist Council of 500 Arhats was convened under Mahakasyapa and King Ajatashatru three months after Buddha's Mahaparinirvana.,Foundational historic site for Buddhist literature and canonical Vinaya/Sutta Pitaka.,A,Archaeological Survey of India & Bihar Tourism,District Administration Nalanda,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Nalanda,Venuvana Vihara,Bamboo Grove Monastery,historical,Ancient Monastery Garden,"Rajgir town, on Patna-Gaya road",25.0285,85.4185,"Historic bamboo grove monastery gifted to Lord Buddha by King Bimbisara of Magadha, containing the sacred Karanda tank where Buddha bathed.",World's first Buddhist monastery garden officially maintained by Bihar Tourism.,A,Bihar Tourism (tourism.bihar.gov.in) & ASI,District Administration Nalanda,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Nalanda,Vishwa Shanti Stupa & Ratnagiri Ropeway,Rajgir Peace Pagoda,cultural,White Marble Peace Pagoda & Aerial Ropeway,"Ratnagiri Hill, Rajgir",25.0085,85.4385,"Magnificent 400-meter high white marble World Peace Pagoda atop Ratnagiri Hill, consecrated in 1969 by Nichidatsu Fuji Guruji, accessed by modern aerial ropeway/chairlift.","Prime landmark of Rajgir, iconic symbol of global peace visited by international dignitaries.",A,Bihar Tourism (tourism.bihar.gov.in) & Nipponzan Myohoji,District Administration Nalanda,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Nalanda,Xuanzang (Hiuen Tsang) Memorial Hall,Hiuen Tsang Memorial,cultural,Sino-Indian Cultural Memorial,"Adjacent to Nalanda Ruins, Bargaon",25.1385,85.4485,Monumental memorial hall constructed in traditional Chinese-Indian pagoda style honoring the 7th-century Chinese scholar Xuanzang who studied and taught at Nalanda.,"Symbol of Sino-Indian civilizational dialogue housing relics, murals, and statue.",A,"Ministry of Culture, Government of India & Nava Nalanda Mahavihara",Bihar Tourism,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Nawada,Gunawa Ji Tirth,Shri Gunnawan Ji Jain Temple,temple,Jain Pilgrimage Water Temple,"Nawada town outskirts, off NH-31",24.8912,85.5412,"Sacred Jain Tirth marking the Nirvana site of Gandhara Indrabhuti Gautama (chief disciple of Lord Mahavira), featuring a beautiful marble temple located in the middle of a lotus pond.",Prominent stop on the official Bihar Jain Circuit.,A,Bihar Tourism Jain Circuit (tourism.bihar.gov.in) & District Administration Nawada,All India Digambar Jain Mahasabha,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Nawada,"Indrasal Cave, Parvati Hill",Indrasaila Guha,historical,Buddhist Cave & Mythological Hill,"Parvati hill, Giriyak-Nawada border",24.9812,85.5124,"Ancient cave site mentioned by Chinese pilgrims Xuanzang and Faxian where Lord Buddha answered questions posed by Indra, King of Gods (Sakka-panha Sutta).",Archaeological Buddhist site of national historical significance.,A,District Administration Nawada (nawada.nic.in/tourist-place/indrasal-cave-parvati/),ASI Archaeological Reports,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Nawada,Kakolat Waterfall,Kakolat Jalprapaat,waterfall,Scenic Natural Waterfall & Plunge Pool,"Govindpur block, 33 km south-east of Nawada",24.7833,85.5167,"Spectacular 160-foot cascading waterfall descending from the Kakolat hills into a deep, crystal-clear natural pool surrounded by dense forested hills; recently equipped with an escalator, eco-cafes, and safe viewing decks.","Top eco-tourism natural wonder of southern Bihar, celebrated for Chhath and Baisakhi celebrations.",A,Bihar Tourism (tourism.bihar.gov.in) & District Administration Nawada (nawada.nic.in),Department of Environment & Forest Bihar,YES,ID 16 (kakolat-waterfall),Already in HiddenYatra as place ID 16.,EXISTING,KEEP EXISTING
Nawada,"Sarvodaya Ashram, Shekhodeora",JP Ashram Shekhodeora,cultural,National Freedom Heritage Ashram,"Shekhodeora, Kawakol block, 55 km from Nawada",24.8125,85.8412,"Ashram founded in 1954 by Loknayak Jayaprakash Narayan (JP) in the forested tribal belt of Kawakol, serving as the nerve center for Bhoodan, Sarvodaya, and rural reconstruction.",Major national political and socio-cultural pilgrimage site documented on nawada.nic.in.,A,District Administration Nawada (nawada.nic.in) & Gandhi Peace Foundation,"Ministry of Culture, Govt of India",NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Nawada,"Surya Mandir, Handiya",Handiya Sun Temple,temple,Ancient Dwapara-Yuga Sun Temple,"Handiya village, Nardiganj block, 18 km from Nawada",24.9512,85.4312,Ancient Sun temple with stone sculptures dating to the Gupta-Pala period; believed to date back to King Jarasandha's reign with a holy water tank revered for skin healing.,Major Chhath Puja pilgrimage destination officially featured on nawada.nic.in.,A,District Administration Nawada (nawada.nic.in/tourist-place/surya-mandir-handiya/),Bihar State Religious Trust,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Patna,Chhoti Patan Devi,Choti Patan Devi Mandir,temple,Historic Shaktipeeth Temple / State Protected,"Chowk, Patna City",25.6015,85.1954,"Ancient temple housing idols of Goddess Mahakali, Mahalakshmi, and Mahasaraswati dating to the Pala period; sister shrine to Badi Patan Devi, protector goddess of Pataliputra.",Bihar State Protected Monument and core Shaktipeeth pilgrimage destination.,A,Bihar State Archaeology Directorate & District Administration Patna,State Religious Trust,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Patna,"Choti Dargah, Maner",Tomb of Makhdum Shah Daulat / Maner Sharif,historical,Imperial Mughal Sandstone Mausoleum / ASI,"Maner, 30 km west of Patna on NH-30",25.6480,84.8850,"Exquisite early 17th-century Mughal mausoleum built in 1616 CE of Chunar buff sandstone, topped by a grand dome with 12 pillars, intricate geometric jali screens, and calligraphic Quranic verses.","Considered the finest specimen of classical Mughal architecture in Eastern India, ASI Centrally Protected Monument.",A,"Archaeological Survey of India (ASI Patna Circle, Monument #40-#43)",Bihar Tourism (tourism.bihar.gov.in),YES,ID 95 (maner-sharif-patna),Already in HiddenYatra as place ID 95 (as Maner Sharif).,EXISTING,KEEP EXISTING
Patna,Jalan Museum (Qila House),Qila House Private Museum,museum,Heritage Private Collection & Fort Ruins,"Hajiganj, Patna City, on old fort ramparts",25.6025,85.1912,"Private museum established in 1919 by Diwan Bahadur Radha Krishna Jalan on the ruins of Sher Shah's fort, displaying Napoleon's bed, Chinese porcelain, Mughal silver, and Marie Antoinette's cutlery.",Exclusive world-class decorative art collection recognized by global historians.,A,National Museum New Delhi Registry & Bihar Tourism,District Administration Patna,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Patna,Kamaldah Jain Temple,Badi Bapat Ji / Kamaldah Tirth,temple,Oldest Jain Shrine in Patna / State Protected,"Gulzarbagh, Patna City",25.5985,85.1845,"Historic Jain temple standing on a high brick mound overlooking a lotus tank, marking the holy birthplace of Jain Acharya Sthulabhadra (3rd century BCE).",State Protected Monument on the official Jain Circuit.,A,Bihar State Archaeology Department,Bihar Tourism Jain Circuit,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Patna,Khuda Bakhsh Oriental Public Library,Khuda Bakhsh National Library,cultural,Institution of National Importance / Library,"Ashok Rajpath, opposite Patna College, Patna",25.6185,85.1585,"Autonomous institution under the Ministry of Culture founded in 1891, housing over 21,000 rare manuscripts in Arabic, Persian, Urdu, and Turkish (including Tarikh-i-Khandan-i-Timuriya).",One of the richest libraries of Islamic and medieval manuscripts in the world.,A,"Ministry of Culture, Government of India & Act of Parliament (1969)",Bihar Tourism Cultural Layer,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Patna,NIT Ghat & Ganga Aarti,Gandhi Ghat / NIT Riverfront,cultural,Cultural Riverfront & Evening Aarti,"Ashok Rajpath, NIT Patna campus bank",25.6215,85.1712,"Scenic riverfront promenade on the high bank of Ganga famous for evening brass-lamp Ganga Aarti ceremonies, recreational river cruises, and vibrant youth gatherings.",Signature evening cultural tourism attraction in Patna city.,A,Bihar State Tourism Development Corporation (BSTDC),Patna Municipal Corporation,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Purnia,Dharahara Narasimha Pillar,Manikham Stambha,historical,Ancient Stone Pillar & Mythological Site,"Banmankhi, 30 km west of Purnia",25.8912,87.1812,"Monolithic stone pillar and mound traditionally associated with the legend of Bhakt Prahlad, King Hiranyakashipu, and the Narasimha avatar where Holi originated.",Prominent cultural and pilgrimage landmark of regional mythology.,B,District Administration Purnia,Regional heritage records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Purnia,Jalalgarh Fort,Jalalgarh Qila,historical,Ruined 18th-Century Fort / State Protected,"Jalalgarh, 20 km north of Purnia on NH-57",25.9612,87.5124,"Imposing quadrangular fortified citadel built in 1722 by Saif Khan, the Mughal Nawab of Purnia, featuring high stone ramparts, rounded bastions, and battlements on the old Kosi course.","Bihar State Protected Monument, foremost historical fort in Seemanchal.",A,Bihar State Archaeology Directorate & District Administration (purnea.nic.in),Archaeological Survey of India,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Purnia,Kajha Kothi Eco Park,Kajha Kothi Lake,nature,Colonial Heritage Estate & Eco Park,"Kajha, Krityanand Nagar block, 12 km from Purnia",25.7512,87.3812,"Former historic colonial estate and indigo planter's bungalow transformed into a 25-acre landscaped eco-park with boating lake, hanging suspension bridge, and children's amusement zones.",Leading eco-tourism and recreation attraction in Purnia district.,A,District Administration Purnia (purnea.nic.in),Department of Environment & Forest Bihar,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Purnia,Mata Puran Devi Temple,Puran Devi Mandir,temple,Ancient City Goddess Temple,"Purnia city, near Saura river",25.7785,87.4712,Ancient temple dedicated to Goddess Puran Devi from which the name of the city and district 'Purnia' is derived; revered as a powerful wish-granting shrine.,"Core religious and identity landmark of Purnia, featured on purnea.nic.in.",A,District Administration Purnia (purnea.nic.in/tourist-place/rani-sati-mandir/),Local cultural archives,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Rohtas,"Ashokan Inscription, Chandan Shahid Hill",Sasaram Minor Rock Edict,historical,Ashokan Rock Edict / ASI Monument,"Chandan Shahid Hill, Sasaram",24.9542,84.0415,"Ancient cave rock edict of Emperor Ashoka inscribed in Brahmi script (3rd century BCE), standing adjacent to the medieval tomb of Sufi saint Chandan Shahid.",ASI Centrally Protected Monument of National Importance.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #46)",Epigraphia Indica,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Rohtas,Dhuan Kund & Manjhar Kund Waterfalls,Dhuwan Kund Falls,waterfall,Twin Plateau Waterfalls,"Kaimur hills, 10 km south of Sasaram",24.8912,84.0124,Pair of roaring perennial waterfalls dropping from the Kaimur plateau into misty gorges with natural plunge pools; traditional venue of the Raksha Bandhan fair.,Highly popular nature tourism destination featured on rohtas.nic.in.,A,District Administration Rohtas (rohtas.nic.in/tourist-place/manjhar-kund-dhuwan-kund/),Bihar Tourism Eco Circuit,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Rohtas,Gupta Dham (Gupteshwar Mahadev Cave),Gupteshwar Caves,nature,Stalactite Limestone Cave & Shiva Shrine,"Kaimur plateau, Chenari block",24.7512,83.7912,"Ancient natural subterranean limestone cave extending hundreds of meters into Kaimur hill with natural stalactite and stalagmite lingams, dripping with mineral water.",Historic pilgrimage and spelunking destination officially documented on rohtas.nic.in.,A,District Administration Rohtas (rohtas.nic.in/tourist-place/gupta-dham/),Geological Survey of India,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
