full_path,filename,extension,size_bytes,category,purpose,referenced_by,dependencies,safe_to_move,is_temporary,secret_present
D:\HiddenYatra\scratch\verify_g4b_terrain_chunks.py,verify_g4b_terrain_chunks.py,.py,8405,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import os; import sys; import json; import unittest; from dotenv import load_dotenv; from app import create_app,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\verify_g4b_terrain_hardening.py,verify_g4b_terrain_hardening.py,.py,9089,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import os; import sys; import json; import unittest; from dotenv import load_dotenv; from app import create_app,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\verify_g4_terrain.py,verify_g4_terrain.py,.py,10119,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import os; import sys; import unittest; from dotenv import load_dotenv; from app import create_app; import importlib,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\verify_jamui.py,verify_jamui.py,.py,754,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,from models.connection import get_cursor,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\verify_live_production.py,verify_live_production.py,.py,17019,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import json; import time; import sys; from selenium import webdriver; from selenium.webdriver.chrome.options import Options; from selenium.webdriver.common.by import By,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\verify_main_smoke_test.py,verify_main_smoke_test.py,.py,6483,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import sys; import os; import requests; import re; from dotenv import load_dotenv; from models.connection import get_db,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\verify_phase1_modes.py,verify_phase1_modes.py,.py,11882,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import os; import sys; import time; import json; import io; from selenium import webdriver,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\verify_phase2a_layer_manager.py,verify_phase2a_layer_manager.py,.py,16139,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import os; import sys; import time; import json; from selenium import webdriver; from selenium.webdriver.chrome.options import Options,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\verify_phase2b_rivers_lakes.py,verify_phase2b_rivers_lakes.py,.py,16638,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import os; import sys; import time; import json; from selenium import webdriver; from selenium.webdriver.chrome.options import Options,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\verify_phase2c_forests_waterfalls.py,verify_phase2c_forests_waterfalls.py,.py,14077,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import os; import sys; import time; import json; from selenium import webdriver; from selenium.webdriver.chrome.options import Options,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\verify_phase2d_blocks.py,verify_phase2d_blocks.py,.py,12605,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import os; import sys; import time; import json; from selenium import webdriver; from selenium.webdriver.chrome.options import Options,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\verify_phase2e_hotels_homestays.py,verify_phase2e_hotels_homestays.py,.py,12754,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import os; import sys; import time; import json; from selenium import webdriver; from selenium.webdriver.chrome.options import Options,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\verify_place_count.py,verify_place_count.py,.py,2566,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, io, requests, re, json",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\verify_place_map_clean.py,verify_place_map_clean.py,.py,2675,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, os, io, re; import requests",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\verify_post_insert_db.py,verify_post_insert_db.py,.py,4623,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import sys; from dotenv import load_dotenv; from models.connection import get_cursor,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\verify_production_deployment.py,verify_production_deployment.py,.py,4740,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import urllib.request; import urllib.error; import http.cookiejar; import json; import struct; import sys,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\verify_scroll_images.py,verify_scroll_images.py,.py,1925,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,import time; import json; from selenium import webdriver; from selenium.webdriver.chrome.options import Options; from selenium.webdriver.common.by import By,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\verify_ux_integration.py,verify_ux_integration.py,.py,3104,K. DEVELOPMENT SCRIPTS,Development inspection or diagnostic script,No direct code references found,"import sys, io, re, requests; import subprocess",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\view_forensic_summary.py,view_forensic_summary.py,.py,2234,K. DEVELOPMENT SCRIPTS,Development script or scratch automation,No direct code references found,"import sys, os, json",YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\view_uninserted_p0.py,view_uninserted_p0.py,.py,452,K. DEVELOPMENT SCRIPTS,"Database insertion, repair, or migration helper",No direct code references found,import sys; from inspect_p0_p1_remaining import uninserted_p0_p1,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\screenshots\01_initial_form.png,01_initial_form.png,.png,70812,G. IMAGES / MEDIA,"Visual media, icon, screenshot, or banner asset",scratch/test_browser_trip_planner_ui.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\screenshots\02_district_dropdown_open.png,02_district_dropdown_open.png,.png,72744,G. IMAGES / MEDIA,"Visual media, icon, screenshot, or banner asset",scratch/test_browser_trip_planner_ui.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\screenshots\03_districts_selected.png,03_districts_selected.png,.png,76854,G. IMAGES / MEDIA,"Visual media, icon, screenshot, or banner asset",scratch/test_browser_trip_planner_ui.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\screenshots\04_places_selected.png,04_places_selected.png,.png,78964,G. IMAGES / MEDIA,"Visual media, icon, screenshot, or banner asset",scratch/test_browser_trip_planner_ui.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\screenshots\05_generated_itinerary.png,05_generated_itinerary.png,.png,147052,G. IMAGES / MEDIA,"Visual media, icon, screenshot, or banner asset",scratch/test_browser_trip_planner_ui.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scratch\screenshots\06_mobile_view.png,06_mobile_view.png,.png,29555,G. IMAGES / MEDIA,"Visual media, icon, screenshot, or banner asset",scratch/test_browser_trip_planner_ui.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\scripts\debug_search.py,debug_search.py,.py,937,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,No direct code references found,"import os, sys; from dotenv import load_dotenv; from models.search_engine import get_search_index, sanitize_query, normalize, parse_nl_intent",REVIEW,NO,NO
D:\HiddenYatra\scripts\inspect_terrain_tile.py,inspect_terrain_tile.py,.py,2208,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,No direct code references found,"import os; import sys; from scripts.preprocess_dem_tiles import decode_hyelev_file, TERRAIN_DIR",REVIEW,NO,NO
D:\HiddenYatra\scripts\preprocess_dem_tiles.py,preprocess_dem_tiles.py,.py,17905,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,scratch/verify_dem_vs_hyelev.py; scratch/verify_g4b_terrain_chunks.py; scratch/verify_g4b_terrain_hardening.py; scripts/inspect_terrain_tile.py; tests/test_hymap_terrain_loader.py,import os; import sys; import math; import json; import struct; import hashlib,REVIEW,NO,NO
D:\HiddenYatra\scripts\quick_seed.py,quick_seed.py,.py,4382,I. DATA / SEED,Database seeding script or sample data generator,No direct code references found,import os; import pymysql,REVIEW,NO,YES
D:\HiddenYatra\scripts\README.md,README.md,.md,1351,L. DOCUMENTATION,"Project architecture, installation, or user documentation",docs/HACKATHON_JUDGING_PACKAGE.md; scratch/audit_upstream_license.py; scratch/comprehensive_structure_auditor.py; scratch/generate_all_structure_audit_reports.py,None,REVIEW,NO,NO
D:\HiddenYatra\scripts\register_mysql_service.cmd,register_mysql_service.cmd,.cmd,3276,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,No direct code references found,None,REVIEW,NO,NO
D:\HiddenYatra\scripts\register_mysql_service.ps1,register_mysql_service.ps1,.ps1,6743,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,No direct code references found,None,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed_dev_data.py,seed_dev_data.py,.py,12051,I. DATA / SEED,Database seeding script or sample data generator,scripts/setup_dev_environment.py,import os; import sys; import logging; from dotenv import load_dotenv; from models.connection import get_cursor; from models.auth import hash_password,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed_gaya_complete.py,seed_gaya_complete.py,.py,34808,I. DATA / SEED,Database seeding script or sample data generator,scratch/generate_all_structure_audit_reports.py,import pymysql,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed_jamui_complete.py,seed_jamui_complete.py,.py,32741,I. DATA / SEED,Database seeding script or sample data generator,scratch/generate_all_structure_audit_reports.py,import pymysql,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed_patna_complete.py,seed_patna_complete.py,.py,43808,I. DATA / SEED,Database seeding script or sample data generator,scratch/generate_all_structure_audit_reports.py,import pymysql,REVIEW,NO,NO
D:\HiddenYatra\scripts\setup_dev_environment.py,setup_dev_environment.py,.py,5658,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,No direct code references found,import os; import sys; import logging; import pymysql; from dotenv import load_dotenv; from scripts.seed_dev_data import seed_development_data,REVIEW,NO,YES
D:\HiddenYatra\scripts\test_search.py,test_search.py,.py,689,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,No direct code references found,"import os; from dotenv import load_dotenv; from models.search_engine import instant_search, rebuild_search_index",REVIEW,NO,NO
D:\HiddenYatra\scripts\validate_dem_inputs.py,validate_dem_inputs.py,.py,4308,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,No direct code references found,"import os; import sys; import struct; import hashlib; from typing import Dict, List, Tuple, Optional",REVIEW,NO,NO
D:\HiddenYatra\scripts\legacy\app.js,app.js,.js,21293,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,app.py; FIXES.md; PERFORMANCE_REPORT.md; UIUX_FIX_REPORT.md; docs/DeveloperGuide.md,None,REVIEW,NO,NO
D:\HiddenYatra\scripts\legacy\compare_databases.py,compare_databases.py,.py,4489,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,No direct code references found,import sqlite3; import pymysql,REVIEW,NO,NO
D:\HiddenYatra\scripts\legacy\data.js,data.js,.js,53998,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,scratch/check_live_db_images.py; scratch/detailed_district_parity.py; scratch/generate_all_structure_audit_reports.py; scratch/inspect_local_district.py; scratch/scrape_live_district.py,None,REVIEW,NO,NO
D:\HiddenYatra\scripts\legacy\debug_mahabodhi.py,debug_mahabodhi.py,.py,1751,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,No direct code references found,import pymysql; import math,REVIEW,NO,NO
D:\HiddenYatra\scripts\legacy\debug_routes.py,debug_routes.py,.py,2791,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,No direct code references found,import requests; import pymysql; import re; import re,REVIEW,NO,NO
D:\HiddenYatra\scripts\legacy\final_verification.py,final_verification.py,.py,2305,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,.dockerignore,"import sqlite3, pymysql",REVIEW,NO,NO
D:\HiddenYatra\scripts\legacy\fix_indexes.py,fix_indexes.py,.py,815,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,No direct code references found,import pymysql,REVIEW,NO,NO
D:\HiddenYatra\scripts\legacy\fix_templates.py,fix_templates.py,.py,1530,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,No direct code references found,import os; import re,REVIEW,NO,NO
D:\HiddenYatra\scripts\legacy\index.html,index.html,.html,6936,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,FINAL_PRE_SUBMISSION_AUDIT.md; UIUX_AUDIT_REPORT.md; UIUX_FIX_REPORT.md; routes/main.py; scratch/generate_all_structure_audit_reports.py,None,REVIEW,NO,NO
D:\HiddenYatra\scripts\legacy\migrate_haldia.py,migrate_haldia.py,.py,3650,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,No direct code references found,import sqlite3; import pymysql,REVIEW,NO,NO
D:\HiddenYatra\scripts\legacy\migrate_recovered_data.py,migrate_recovered_data.py,.py,9315,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,No direct code references found,import sqlite3; import pymysql,REVIEW,NO,NO
D:\HiddenYatra\scripts\legacy\setup_mysql.py,setup_mysql.py,.py,2525,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,No direct code references found,import pymysql; import os; import sys,REVIEW,NO,YES
D:\HiddenYatra\scripts\legacy\styles.css,styles.css,.css,31760,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,scripts/README.md; scripts/legacy/index.html,None,REVIEW,NO,NO
D:\HiddenYatra\scripts\legacy\test_mahabodhi.py,test_mahabodhi.py,.py,593,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,No direct code references found,import sys; from app import create_app; import traceback,REVIEW,NO,NO
D:\HiddenYatra\scripts\legacy\verify_migration.py,verify_migration.py,.py,4607,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,No direct code references found,"import sys, os; import pymysql",REVIEW,NO,NO
D:\HiddenYatra\scripts\migrations\migrate_auth.py,migrate_auth.py,.py,1389,H. DATABASE,Database migration or schema patch script,scripts/README.md,import sqlite3,REVIEW,NO,NO
D:\HiddenYatra\scripts\migrations\migrate_schema.py,migrate_schema.py,.py,2257,H. DATABASE,Database migration or schema patch script,INSTALL.md; scripts/README.md,import sqlite3,REVIEW,NO,NO
D:\HiddenYatra\scripts\migrations\migrate_sqlite_to_mysql.py,migrate_sqlite_to_mysql.py,.py,5363,H. DATABASE,Database migration or schema patch script,docs/Database.md,import os; import sys; import sqlite3; from datetime import datetime; from dotenv import load_dotenv; import pymysql,REVIEW,NO,YES
D:\HiddenYatra\scripts\migrations\mysql_rollback.sql,mysql_rollback.sql,.sql,1360,H. DATABASE,"SQL database schema, migration, or backup dump",docs/Database.md,None,REVIEW,NO,NO
D:\HiddenYatra\scripts\migrations\mysql_schema.sql,mysql_schema.sql,.sql,44004,H. DATABASE,"SQL database schema, migration, or backup dump",docker-compose.yml; KNOWN_LIMITATIONS.md; REFACTOR_PLAN.md; deploy/deploy.sh; docs/Database.md,None,REVIEW,NO,NO
D:\HiddenYatra\scripts\migrations\phase32a_migration.sql,phase32a_migration.sql,.sql,1384,H. DATABASE,"SQL database schema, migration, or backup dump",No direct code references found,None,REVIEW,NO,NO
D:\HiddenYatra\scripts\migrations\phase3_migration.sql,phase3_migration.sql,.sql,17912,H. DATABASE,"SQL database schema, migration, or backup dump",No direct code references found,None,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\apply_verified_bihar_photos.py,apply_verified_bihar_photos.py,.py,5384,I. DATA / SEED,Database seeding script or sample data generator,No direct code references found,import os; import pymysql,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\check_buxar.py,check_buxar.py,.py,544,I. DATA / SEED,Database seeding script or sample data generator,No direct code references found,import pymysql,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\debug_signup_exception.py,debug_signup_exception.py,.py,1332,I. DATA / SEED,Database seeding script or sample data generator,No direct code references found,import os; import sys; import pymysql; from app import create_app; import re; import traceback,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\e2e_qa_verification.py,e2e_qa_verification.py,.py,9241,I. DATA / SEED,Database seeding script or sample data generator,No direct code references found,import os; import sys; import re; import pymysql; import requests; from app import create_app,REVIEW,NO,YES
D:\HiddenYatra\scripts\seed\fetch_places_list.py,fetch_places_list.py,.py,425,I. DATA / SEED,Database seeding script or sample data generator,No direct code references found,import pymysql,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\find_500_error.py,find_500_error.py,.py,2665,I. DATA / SEED,Database seeding script or sample data generator,No direct code references found,import os; import sys; from app import create_app; import traceback; import traceback,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\generate_brand_logo.py,generate_brand_logo.py,.py,5379,I. DATA / SEED,Database seeding script or sample data generator,No direct code references found,"import os; import sys; from PIL import Image, ImageDraw",REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\generate_exact_pin_logo.py,generate_exact_pin_logo.py,.py,3087,I. DATA / SEED,Database seeding script or sample data generator,No direct code references found,"import os; import sys; from PIL import Image, ImageDraw",REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\restore_district_cover_images.py,restore_district_cover_images.py,.py,1823,I. DATA / SEED,Database seeding script or sample data generator,No direct code references found,import os; import pymysql,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\restore_original_local_images.py,restore_original_local_images.py,.py,1820,I. DATA / SEED,Database seeding script or sample data generator,No direct code references found,import os; import pymysql,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\scan_all_url_map.py,scan_all_url_map.py,.py,2853,I. DATA / SEED,Database seeding script or sample data generator,No direct code references found,import os; import sys; from app import create_app; import traceback; import traceback,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\seed_all_essential_services.py,seed_all_essential_services.py,.py,7484,I. DATA / SEED,Database seeding script or sample data generator,INSTALL.md,"import pymysql, sys, os; from config import DB_HOST, DB_PORT, DB_NAME, DB_USER, DB_PASSWORD",REVIEW,NO,YES
D:\HiddenYatra\scripts\seed\seed_bihar.py,seed_bihar.py,.py,17811,I. DATA / SEED,Database seeding script or sample data generator,scratch/repair_district_data.py; scripts/README.md; scripts/seed/seed_bihar_hierarchy.py,"import sys, os; from models.database import (",REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\seed_bihar_complete.py,seed_bihar_complete.py,.py,34618,I. DATA / SEED,Database seeding script or sample data generator,deploy/deploy.sh; docs/Database.md; docs/Deployment.md; scratch/repair_district_data.py; scripts/README.md,"import sys, os; from models.database import (; from models.database import get_cursor",REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\seed_bihar_hierarchy.py,seed_bihar_hierarchy.py,.py,8950,I. DATA / SEED,Database seeding script or sample data generator,scripts/README.md,"import sys, os; from models.database import (",REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\seed_data.py,seed_data.py,.py,20545,I. DATA / SEED,Database seeding script or sample data generator,scripts/README.md,import sys; import os; from models.database import (,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\seed_demo_content.py,seed_demo_content.py,.py,8355,I. DATA / SEED,Database seeding script or sample data generator,No direct code references found,"import pymysql; import sys; import os; from config import DB_HOST, DB_PORT, DB_NAME, DB_USER, DB_PASSWORD",REVIEW,NO,YES
D:\HiddenYatra\scripts\seed\seed_homestays.py,seed_homestays.py,.py,33361,I. DATA / SEED,Database seeding script or sample data generator,models/connection.py; routes/stays.py,import os; import sys; import json; import logging; from dotenv import load_dotenv; from models.connection import get_cursor,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\seed_hotels.py,seed_hotels.py,.py,19712,I. DATA / SEED,Database seeding script or sample data generator,scripts/README.md,"import sys, os; from models.database import (",REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\seed_images.py,seed_images.py,.py,3873,I. DATA / SEED,Database seeding script or sample data generator,scripts/README.md,"import sys, os; from models.database import init_db, get_db",REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\seed_jamui_places.py,seed_jamui_places.py,.py,28207,I. DATA / SEED,Database seeding script or sample data generator,scratch/repair_district_data.py,import sys; import os; from models.connection import get_cursor,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\seed_nearby_services.py,seed_nearby_services.py,.py,6808,I. DATA / SEED,Database seeding script or sample data generator,No direct code references found,"import pymysql, sys, os; from config import DB_HOST, DB_PORT, DB_NAME, DB_USER, DB_PASSWORD",REVIEW,NO,YES
D:\HiddenYatra\scripts\seed\seed_place_images.py,seed_place_images.py,.py,7992,I. DATA / SEED,Database seeding script or sample data generator,No direct code references found,"import pymysql; import sys; import os; from config import DB_HOST, DB_PORT, DB_NAME, DB_USER, DB_PASSWORD",REVIEW,NO,YES
D:\HiddenYatra\scripts\seed\test_all_user_activation_flows.py,test_all_user_activation_flows.py,.py,9790,I. DATA / SEED,Database seeding script or sample data generator,No direct code references found,import os; import sys; import re; import pymysql; from app import create_app,REVIEW,NO,YES
D:\HiddenYatra\scripts\seed\test_lockout.py,test_lockout.py,.py,1478,I. DATA / SEED,Database seeding script or sample data generator,No direct code references found,import os; import sys; import re; import pymysql; from app import create_app,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\test_signup.py,test_signup.py,.py,1303,I. DATA / SEED,Database seeding script or sample data generator,No direct code references found,import requests; import re; import sys,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\test_signup_flash.py,test_signup_flash.py,.py,933,I. DATA / SEED,Database seeding script or sample data generator,No direct code references found,import requests; import re; import sys,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\test_signup_real.py,test_signup_real.py,.py,1651,I. DATA / SEED,Database seeding script or sample data generator,No direct code references found,import requests; import re; import sys; import pymysql,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\update_district_cover_photos.py,update_district_cover_photos.py,.py,3503,I. DATA / SEED,Database seeding script or sample data generator,No direct code references found,import pymysql; import os,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\update_exact_bihar_photos.py,update_exact_bihar_photos.py,.py,4414,I. DATA / SEED,Database seeding script or sample data generator,No direct code references found,import pymysql; import os; import urllib.request,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\update_places_real_photos.py,update_places_real_photos.py,.py,3747,I. DATA / SEED,Database seeding script or sample data generator,INSTALL.md,import pymysql; import os; import sys,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\verify_cover_images.py,verify_cover_images.py,.py,5338,I. DATA / SEED,Database seeding script or sample data generator,No direct code references found,import os; import sys; import pymysql,REVIEW,NO,NO
D:\HiddenYatra\scripts\seed\verify_full_system.py,verify_full_system.py,.py,3939,I. DATA / SEED,Database seeding script or sample data generator,INSTALL.md,"import sys, os; from app import create_app; from models.database import compute_travel_metrics, get_nearby_api_data, get_smart_nearby_discovery",REVIEW,NO,NO
D:\HiddenYatra\scripts\tools\check_all_tables_duplicates.py,check_all_tables_duplicates.py,.py,1178,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,No direct code references found,import pymysql; import os,REVIEW,NO,NO
D:\HiddenYatra\scripts\tools\clean_all_table_duplicates.py,clean_all_table_duplicates.py,.py,979,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,No direct code references found,import pymysql; import os,REVIEW,NO,NO
D:\HiddenYatra\scripts\tools\clean_duplicate_places.py,clean_duplicate_places.py,.py,1978,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,No direct code references found,import pymysql; import os,REVIEW,NO,NO
D:\HiddenYatra\scripts\tools\db_integrity_audit.py,db_integrity_audit.py,.py,4742,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,No direct code references found,import sys; import os; from models.database import get_db,REVIEW,NO,NO
D:\HiddenYatra\scripts\tools\e2e_verify.py,e2e_verify.py,.py,6789,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,.dockerignore; FIXES.md,import urllib.request; import urllib.error; import json; import sys; import http.client,REVIEW,NO,NO
D:\HiddenYatra\scripts\tools\generate_presentation_files.py,generate_presentation_files.py,.py,48701,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,No direct code references found,"import sys; import os; from pptx import Presentation; from pptx.util import Inches, Pt; from pptx.enum.text import PP_ALIGN, MSO_ANCHOR; from pptx.dml.color import RGBColor",REVIEW,NO,NO
D:\HiddenYatra\scripts\tools\minify_assets.py,minify_assets.py,.py,2149,K. DEVELOPMENT SCRIPTS,Development tooling or operational maintenance script,FIXES.md; PERFORMANCE_REPORT.md,import os; import re,REVIEW,NO,NO
D:\HiddenYatra\static\icon-192.png,icon-192.png,.png,1703,G. IMAGES / MEDIA,"Visual media, icon, screenshot, or banner asset",scripts/seed/generate_brand_logo.py; scripts/seed/generate_exact_pin_logo.py; static/manifest.json; static/sw.js; static/sw.min.js,None,REVIEW,NO,NO
D:\HiddenYatra\static\icon-512.png,icon-512.png,.png,5052,G. IMAGES / MEDIA,"Visual media, icon, screenshot, or banner asset",scripts/seed/generate_brand_logo.py; scripts/seed/generate_exact_pin_logo.py; static/manifest.json; static/sw.js; static/sw.min.js,None,REVIEW,NO,NO
D:\HiddenYatra\static\logo-icon.svg,logo-icon.svg,.svg,606,G. IMAGES / MEDIA,"Visual media, icon, screenshot, or banner asset",scripts/seed/generate_brand_logo.py; scripts/seed/generate_exact_pin_logo.py; templates/base.html; templates/admin/login.html; templates/auth/forgot_password.html,None,REVIEW,NO,NO
D:\HiddenYatra\static\logo.svg,logo.svg,.svg,929,G. IMAGES / MEDIA,"Visual media, icon, screenshot, or banner asset",scratch/generate_all_structure_audit_reports.py; scripts/seed/generate_brand_logo.py; scripts/seed/generate_exact_pin_logo.py,None,REVIEW,NO,NO
D:\HiddenYatra\static\manifest.json,manifest.json,.json,547,Q. UNKNOWN / MANUAL REVIEW,Unclassified file requiring manual inspection,FINAL_ENGINEERING_REPORT.md; docs/SYSTEM_AUDIT_REPORT.md; scratch/final_route_test.py; scratch/generate_all_structure_audit_reports.py; scratch/production_smoke_test.py,None,REVIEW,NO,NO
D:\HiddenYatra\static\og-default.png,og-default.png,.png,762701,G. IMAGES / MEDIA,"Visual media, icon, screenshot, or banner asset",FINAL_ENGINEERING_REPORT.md; templates/base.html; templates/index.html,None,REVIEW,NO,NO
D:\HiddenYatra\static\placeholder-fort.svg,placeholder-fort.svg,.svg,800,G. IMAGES / MEDIA,"Visual media, icon, screenshot, or banner asset",scratch/live_district_data.json; templates/explore_map.html; templates/partials/place_card.html,None,REVIEW,NO,NO
D:\HiddenYatra\static\placeholder-nature.svg,placeholder-nature.svg,.svg,689,G. IMAGES / MEDIA,"Visual media, icon, screenshot, or banner asset",scratch/live_district_data.json; scratch/live_images_report.json; templates/explore_map.html; templates/partials/place_card.html,None,REVIEW,NO,NO
D:\HiddenYatra\static\placeholder-place.svg,placeholder-place.svg,.svg,921,G. IMAGES / MEDIA,"Visual media, icon, screenshot, or banner asset",scratch/live_district_data.json; scratch/live_images_report.json; static/js/map/map-markers.js; templates/explore_map.html; templates/place.html,None,REVIEW,NO,NO
D:\HiddenYatra\static\placeholder-temple.svg,placeholder-temple.svg,.svg,826,G. IMAGES / MEDIA,"Visual media, icon, screenshot, or banner asset",scratch/live_district_data.json; scratch/live_images_report.json; templates/explore_map.html; templates/partials/place_card.html,None,REVIEW,NO,NO
D:\HiddenYatra\static\placeholder-waterfall.svg,placeholder-waterfall.svg,.svg,750,G. IMAGES / MEDIA,"Visual media, icon, screenshot, or banner asset",scratch/live_district_data.json; scratch/live_images_report.json; templates/explore_map.html; templates/partials/place_card.html,None,REVIEW,NO,NO
